DEP/REG/ANNEE/SUPER_PLOMBE/SUPER_SANS_PLOMB/GAZOLE/FOD/FOL/GNR/GPL/CARBUREACTEUR/SUPER_ETH_E85
99/76/2010/0.0/737890,3/3148794.0/773510.0/44527.0/0.0/243505.0//
1/84/2010/0.0/78514,74/356181.0/93254.0/27843.0/0.0///
3/84/2010/0.0/48504,78/220894.0/95833.0/4473.0/0.0///
7/84/2010/0.0/36970,4/128079.0/29752.0/9774.0/0.0///
15/84/2010/0.0/16106,1/79339.0/43990.0/17531.0/0.0///
26/84/2010/0.0/83002,84/474667.0/111830.0/4259.0/0.0///
38/84/2010/0.0/156954,7/621314.0/117446.0/28188.0/0.0///
42/84/2010/0.0/84706,32/380968.0/456117.0/27531.0/0.0///
43/84/2010/0.0/24761,88/126536.0/61717.0/5805.0/0.0///
63/84/2010/0.0/89010,16/360600.0/117508.0/15116.0/0.0///
69/84/2010/0.0/208395,8/917969.0/573635.0/23697.0/0.0///
73/84/2010/0.0/63404,68/307520.0/96919.0/31795.0/0.0///
74/84/2010/0.0/98881,76/407109.0/132737.0/4116.0/0.0///
99/84/2010/0.0/989214,2/4381176.0/1930738.0/200128.0/0.0/300339.0//
4/93/2010/0.0/25510,76/94128.0/30097.0/532.0/0.0///
5/93/2010/0.0/21263,9/87199.0/37386.0/958.0/0.0///
6/93/2010/0.0/207185,9/418333.0/84388.0/5621.0/0.0///
13/93/2010/0.0/277841,9/1078255.0/294708.0/265022.0/0.0///
83/93/2010/0.0/190590,7/542047.0/127270.0/2837.0/0.0///
84/93/2010/0.0/89368,32/370565.0/101915.0/8448.0/0.0///
99/93/2010/0.0/811761,5/2590527.0/675764.0/283418.0/0.0/154188.0//
2A/94/2010/0.0/29150,82/73745.0/22532.0/0.0/0.0///
2B/94/2010/0.0/35337,96/86733.0/43834.0/287.0/0.0///
99/94/2010/0.0/64488,78/160478.0/66366.0/287.0/0.0/34569.0//
99/99/2010///////22742.0//
FR/FR/2010/0.0/7972113/32964767.0/12828193.0/1458509.0/0.0/2389676.0/6127744,8/
75/11/2011/0.0/107727/192520.0/41789.0/21223.0/0.0///
77/11/2011/0.0/178348,1/720198.0/124227.0/17655.0/0.0///
78/11/2011/0.0/203688,7/549276.0/88297.0/1116.0/0.0///
91/11/2011/0.0/173554,4/571482.0/85525.0/202.0/0.0///
92/11/2011/0.0/127701,8/276903.0/143611.0/3415.0/0.0///
93/11/2011/0.0/117164,2/381225.0/54331.0/1782.0/0.0///
94/11/2011/0.0/127193,4/379873.0/124662.0/8824.0/0.0///
95/11/2011/0.0/135933,6/458170.0/70279.0/2105.0/0.0///
99/11/2011/0.0/1171311/3529647.0/732721.0/56322.0/0.0/87941.0//
18/24/2011/0.0/40412,14/213453.0/71660.0/201.0/0.0///
28/24/2011/0.0/60327,02/307401.0/80719.0/3215.0/0.0///
36/24/2011/0.0/27884,68/150452.0/57068.0/762.0/0.0///
37/24/2011/0.0/79634,36/350842.0/102984.0/3060.0/0.0///
41/24/2011/0.0/45342,76/203803.0/61370.0/1189.0/0.0///
45/24/2011/0.0/89425,3/412589.0/367147.0/26190.0/0.0///
99/24/2011/0.0/343026,3/1638540.0/740948.0/34617.0/0.0/113873.0//
21/27/2011/0.0/76003,18/364263.0/105215.0/5276.0/0.0///
25/27/2011/0.0/60998,2/329604.0/143219.0/6630.0/0.0///
39/27/2011/0.0/33671,48/185232.0/62794.0/2132.0/0.0///
58/27/2011/0.0/30291,9/116512.0/67709.0/1161.0/0.0///
70/27/2011/0.0/24875,1/147986.0/57211.0/4501.0/0.0///
71/27/2011/0.0/82472,26/412089.0/97739.0/26343.0/0.0///
89/27/2011/0.0/53752,86/253067.0/64997.0/1274.0/0.0///
90/27/2011/0.0/14014,12/55930.0/17233.0/784.0/0.0///
99/27/2011/0.0/376079,1/1864683.0/616117.0/48101.0/0.0/119790.0//
14/28/2011/0.0/94971,6/463640.0/178422.0/6067.0/0.0///
27/28/2011/0.0/71879,16/348321.0/77566.0/11224.0/0.0///
50/28/2011/0.0/61135,1/319080.0/125659.0/19875.0/0.0///
61/28/2011/0.0/30251,94/174932.0/83918.0/5167.0/0.0///
76/28/2011/0.0/143987,7/706431.0/187762.0/29357.0/0.0///
99/28/2011/0.0/402225,5/2012404.0/653327.0/71690.0/0.0/138929.0//
