OPERATEUR;ANNEE;FILIERE ;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
GrDF;2017;G;InterCom;200030633;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200030633;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200030674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200033025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200033116;0;0;0;0;0;0;0;0;0;171;11;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200033124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200033157;0;0;0;0;0;0;0;0;0;174;12;0;0;0;411;6;0
GrDF;2017;G;InterCom;200033173;0;0;0;0;0;0;0;0;0;288;8;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200033181;0;0;0;0;0;0;0;0;0;348;13;0;0;0;409;3;0
GrDF;2017;G;InterCom;200033298;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200033579;0;0;0;0;0;0;0;0;0;205;3;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200033686;0;0;0;0;0;0;0;0;0;514;13;0;0;0;398;6;0
GrDF;2017;G;InterCom;200033686;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200034023;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200034023;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200034130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034361;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034379;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200034676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034700;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200034817;0;0;0;0;0;0;0;0;0;210;5;0;0;0;0;0;0
GrDF;2017;G;InterCom;200034825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034833;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034882;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200034957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035152;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200035202;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200035210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
