DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;SUPER_ETH_E85;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
42;84;2016;0;75957;878;389445;62297;20893;25599;17447
43;84;2016;0;23939;107;135054;45447;287;19275;8543
63;84;2016;0;82242;1483;392183;77909;2886;49680;17807
69;84;2016;0;184050;1477;896383;155704;7483;120108;31952;
73;84;2016;0;62963;486;342377;75148;9074;26301;18442;
74;84;2016;0;123106;712;480955;135536;1559;33302;25745;
99;84;2016;0;951866;7513;4575834;901671;74014;439371;237216;
4;93;2016;0;23806;90;101835;23429;628;9110;10434;
5;93;2016;0;20505;177;91400;28859;771;8362;8278;
6;93;2016;0;190744;1009;447013;41913;1488;9479;18287;
13;93;2016;0;247363;3592;1055263;138348;34774;93411;31076;
83;93;2016;0;174166;2290;571498;56896;1618;21219;28849;
84;93;2016;0;78737;1540;369143;56172;3540;21928;16712;
99;93;2016;0;735322;8697;2636152;345619;42819;163509;113637;
99;94;2016;0;62088;0;174495;13179;0;5730;24423;
2A;94;2016;0;22411;0;63767;5142;0;3939;18595;
2B;94;2016;0;39677;0;110728;8037;0;1791;5827;
99;99;2016;0;;;;;;;11257;
FR;FR;2016;0;7263047;74469;34124063;6222097;404718;4115845;1780660;6477764,8
