DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2013;0;91137,66;196485;10437;26485;115698;;
77;11;2013;0;163908,5;749397;94862;2337;31049;;
78;11;2013;0;183383,8;604638;80341;594;14021;;
91;11;2013;0;161011,4;560631;61404;502;17578;;
92;11;2013;0;115965,4;247349;118803;4222;15486;;
93;11;2013;0;104320,8;347013;26052;0;1380;;
94;11;2013;0;114037;415366;109654;1529;27973;;
95;11;2013;0;142893,3;538013;65167;1849;37711;;
99;11;2013;0;1076658;3658892;566720;37518;260896;84633;
18;24;2013;0;36035,78;183768;44947;0;22343;;
28;24;2013;0;55687,22;295662;47773;655;25458;;
36;24;2013;0;26062,8;143273;30452;27;22010;;
37;24;2013;0;72235,1;335377;61126;1312;45077;;
41;24;2013;0;41684,94;201324;41154;1456;20614;;
45;24;2013;0;81389,64;432239;276318;16243;147008;;
99;24;2013;0;313095,5;1591643;501770;19693;282510;121601
21;27;2013;0;67355,54;357098;76448;2474;44033;
25;27;2013;0;58070,76;328895;121265;5685;33665;
39;27;2013;0;30283,02;182516;49847;1253;14825;
58;27;2013;0;26821,3;112105;35594;1094;23521;
70;27;2013;0;21965,42;140541;42980;3056;15733;
71;27;2013;0;75275,76;422119;86422;16753;44148;
89;27;2013;0;47559,06;244759;37649;825;25236;
90;27;2013;0;13195,68;59019;15420;1312;3248;
99;27;2013;0;340526,5;1847052;465625;32452;204409;119861
14;28;2013;0;85589,88;416431;93277;4908;69104;
27;28;2013;0;65000,86;337661;50008;3797;26838;
50;28;2013;0;54313,04;297914;90959;18978;58109;
61;28;2013;0;26688,1;163162;51452;5048;30547;
76;28;2013;0;129758,3;699135;106385;43004;69920;
99;28;2013;0;361350,1;1914303;392081;75735;254518;139656
2;32;2013;0;48615,78;304298;69116;5048;33055;
59;32;2013;0;194316,6;1054252;353365;13902;227998;
60;32;2013;0;79538,9;426669;68456;14040;41407;
62;32;2013;0;123523,8;931630;90220;2436;82234;
80;32;2013;0;55145,54;343392;69024;29759;46212;
99;32;2013;0;501140,6;3060241;650181;65185;430906;148003
8;44;2013;0;22299,16;132440;33820;801;12889;
10;44;2013;0;32878,2;205020;31132;367;29914;
51;44;2013;0;57827,3;420326;101863;45720;94051;
52;44;2013;0;23341,82;159515;29017;1608;17583;
54;44;2013;0;64051,44;372344;322082;2089;209743;
55;44;2013;0;15725;105354;27656;8314;14029;
57;44;2013;0;88195,42;467340;138414;8387;45385;
67;44;2013;0;125903,6;585413;204869;4335;68239;
68;44;2013;0;87537,56;419848;116698;11752;26089;
88;44;2013;0;39282,16;225699;51218;3767;22371;
99;44;2013;0;557041,7;3093299;1056769;87140;540293;148075
44;52;2013;0;157404,7;739546;285250;11642;257043;
49;52;2013;0;76709,88;429163;51302;11831;34644;
53;52;2013;0;27454,74;207407;28946;11314;32627;
72;52;2013;0;69887,82;369164;43997;2048;23039;
85;52;2013;0;95188,42;538382;105061;2559;95565;
99;52;2013;0;426645,5;2283662;514556;39394;442918;177267
22;53;2013;0;63987,06;354344;63750;9502;40296;
29;53;2013;0;97345,52;490265;126643;7934;41185;
35;53;2013;0;108158,4;628009;254843;7144;190646;
56;53;2013;0;83147,88;437457;62895;8363;45466;
99;53;2013;0;352638,9;1910075;508131;32943;317593;162480
16;75;2013;0;43125,72;301545;38282;17889;42240;
17;75;2013;0;89525,94;449596;58066;7250;37705;
19;75;2013;0;30411,04;163307;35259;2752;14264;
23;75;2013;0;12312,12;69784;31628;0;15755;
24;75;2013;0;44049,98;222438;61469;188;27310;
33;75;2013;0;180408,3;845794;77556;7944;92922;
40;75;2013;0;49924,84;270634;27693;10038;44975;
47;75;2013;0;34836,24;237006;299000;2024;186807;
64;75;2013;0;69137,46;313845;27771;737;27735;
79;75;2013;0;41384,5;294081;59506;19741;39988;
86;75;2013;0;49527,46;291961;73615;3354;62475;
87;75;2013;0;44897,28;203445;45950;2012;20317;
99;75;2013;0;689540,9;3663436;835795;73929;612493;316942
9;76;2013;0;14923,58;72798;8505;1486;4797;
11;76;2013;0;43104,26;267187;22636;658;20801;
12;76;2013;0;26238,92;158189;39537;371;22935;
30;76;2013;0;83927,1;370336;58509;861;24475;
31;76;2013;0;141113,6;664416;42428;513;37998;
32;76;2013;0;18021,96;106647;18905;284;27376;
34;76;2013;0;140833,8;672727;132075;3053;87288;
46;76;2013;0;22387,96;104911;19851;8432;8111;
48;76;2013;0;9202,64;52300;27316;1985;6388;
65;76;2013;0;24175,8;115829;15478;233;11039;
66;76;2013;0;54171,7;244833;25985;1282;14752;
81;76;2013;0;38149,96;202027;33142;6081;22576;
82;76;2013;0;24261,64;165008;20485;259;12817;
99;76;2013;0;640512,9;3197208;464852;25498;301353;208101
1;84;2013;0;74798,46;390338;79974;11247;31930;
3;84;2013;0;40535,72;224147;57907;1905;38265;
7;84;2013;0;32813,82;136627;30443;4759;5307;
15;84;2013;0;14296,8;80769;28133;9738;13122;
26;84;2013;0;73214,86;456843;77882;3273;29385;
38;84;2013;0;135038,9;628690;99779;6160;31162;
42;84;2013;0;77865,02;425400;367828;9670;105441;
43;84;2013;0;21611,7;122040;47928;984;18176;
63;84;2013;0;78035,22;381626;83115;4184;41614;
69;84;2013;0;176105,9;893648;276044;8146;103628;;
73;84;2013;0;57572;343503;62101;15050;18789;;
74;84;2013;0;103346,2;456582;94091;1235;26594;;
99;84;2013;0;885234,6;4540213;1305225;76351;463413;273301;
4;93;2013;0;22837,88;99824;23831;407;7786;;
5;93;2013;0;19370,98;91445;35238;377;7694;;
6;93;2013;0;187254,8;459825;89613;1497;19995;;
13;93;2013;0;233279,1;1018633;159719;157558;76780;;
83;93;2013;0;167271,8;552624;67243;3435;23653;;
84;93;2013;0;78810;383855;71108;2819;21975;;
99;93;2013;0;708824,5;2606206;446752;166093;157883;131244;
2A;94;2013;0;23352,92;59929;8811;0;4984;;
2B;94;2013;0;34448,48;111805;31281;0;6995;;
99;94;2013;0;57801,4;171734;40092;0;11979;31150;
99;99;2013;;;;;100000;;12206;
FR;FR;2013;0;6911011;33537964;7748549;831931;4281164;2074520;6263711,2
