DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2014;0;85498,12;172845;9477;18804;94839;;
77;11;2014;0;165584,6;738220;68082;2272;36126;;
78;11;2014;0;182196,9;587246;60585;359;13932;;
91;11;2014;0;161115;560187;51189;542;18041;;
92;11;2014;0;114028,1;269147;112770;4261;29710;;
93;11;2014;0;101263,8;374008;23253;0;1257;;
94;11;2014;0;114355,2;456896;78785;28;27219;;
95;11;2014;0;147030,6;564776;52763;1042;30414;;
99;11;2014;0;1071072;3723325;456904;27308;251538;74288;
18;24;2014;0;34865,84;178777;36107;0;24106;;
28;24;2014;0;55938,08;296195;39751;190;27021;;
36;24;2014;0;25208,1;141105;25735;25;22385;;
37;24;2014;0;72025,68;334022;49249;1240;48243;;
41;24;2014;0;41230,58;197400;35094;1104;22904;;
45;24;2014;0;82403,44;437406;198300;3614;142173;;
99;24;2014;0;311671,7;1584905;384236;6173;286832;102513
21;27;2014;0;67467,28;355088;61340;3332;47901;
25;27;2014;0;58067,8;312243;102946;3517;32873;
39;27;2014;0;30694,46;184680;41889;1168;14944;
58;27;2014;0;27081,78;115064;28433;1461;23467;
70;27;2014;0;22324,32;144586;32349;2515;16680;
71;27;2014;0;74736,3;421007;71327;7971;44017;
89;27;2014;0;47512,44;244575;31831;924;25128;
90;27;2014;0;13445,06;60634;12833;480;5166;
99;27;2014;0;341329,4;1837877;382948;21368;210176;102592
14;28;2014;0;87136,48;433243;79097;3824;70865;
27;28;2014;0;65645,4;345422;51174;6584;33499;
50;28;2014;0;54841,4;300169;77532;17912;57892;
61;28;2014;0;26203,4;161726;43279;5086;32345;
76;28;2014;0;133406,5;727609;85863;18311;75942;
99;28;2014;0;367233,1;1968169;336945;51717;270543;120395
2;32;2014;0;48775,62;309954;57425;1950;34245;
59;32;2014;0;205903,5;1132593;292391;10175;250221;
60;32;2014;0;79395,34;427770;52258;9467;39732;
62;32;2014;0;124845,4;936329;77958;8263;77413;
80;32;2014;0;55901,08;350786;53861;25388;45599;
99;32;2014;0;514821;3157432;533893;55243;447210;123413
8;44;2014;0;22434,58;134034;32525;1436;14859;
10;44;2014;0;32471,2;204449;24894;342;32988;
51;44;2014;0;58056,7;423309;79400;40925;100586;
52;44;2014;0;23503,88;167271;23603;1415;17221;
54;44;2014;0;64846,94;369737;257441;1210;213882;
55;44;2014;0;15675,42;104784;22670;2843;12969;
57;44;2014;0;87490,94;467096;111289;9085;52841;
67;44;2014;0;123082;570220;159396;6698;47529;
68;44;2014;0;87903,12;422036;97220;6791;29003;
88;44;2014;0;39464,94;224821;51266;1606;26293;
99;44;2014;0;554929,7;3087757;859704;72351;548171;126473
44;52;2014;0;157480,9;787345;342623;12260;367282;
49;52;2014;0;76239,98;425019;45802;10712;35113;
53;52;2014;0;27307,48;205327;26650;10731;33973;
72;52;2014;0;69819;377155;37178;1880;26767;
85;52;2014;0;95457,78;532133;97374;1315;107501;
99;52;2014;0;426305,1;2326979;549627;36898;570636;154510
22;53;2014;0;64628,64;367337;53911;13546;43418;
29;53;2014;0;97818,38;482479;114113;5678;42340;
35;53;2014;0;108967,2;637380;84964;4906;73635;
