DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
4;93;2012;0;23463,18;98614;23151;667;7249;;
5;93;2012;0;19627,76;88131;34417;720;7346;;
6;93;2012;0;191412,8;459314;94726;2546;22071;;
13;93;2012;0;244204,4;1065453;170326;194938;74288;;
83;93;2012;0;172044,1;551416;72016;2274;22990;;
84;93;2012;0;79649,16;376099;67351;6173;21239;;
99;93;2012;0;730401,5;2639027;461987;207318;155183;130086;
2A;94;2012;0;26168,62;66382;10017;0;5680;;
2B;94;2012;0;32821,22;103605;43031;336;6215;;
99;94;2012;0;58989,84;169987;53048;336;11895;31531;
99;99;2012;;;;;;;12496;
FR;FR;2012;0;7127695;33543075;7632232;1014578;3972349;2105486;6312989,6
