DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2011;0;107727;192520;41789;21223;0;;
77;11;2011;0;178348,1;720198;124227;17655;0;;
78;11;2011;0;203688,7;549276;88297;1116;0;;
91;11;2011;0;173554,4;571482;85525;202;0;;
92;11;2011;0;127701,8;276903;143611;3415;0;;
93;11;2011;0;117164,2;381225;54331;1782;0;;
94;11;2011;0;127193,4;379873;124662;8824;0;;
95;11;2011;0;135933,6;458170;70279;2105;0;;
99;11;2011;0;1171311;3529647;732721;56322;0;87941;
18;24;2011;0;40412,14;213453;71660;201;0;;
28;24;2011;0;60327,02;307401;80719;3215;0;;
36;24;2011;0;27884,68;150452;57068;762;0;;
37;24;2011;0;79634,36;350842;102984;3060;0;;
41;24;2011;0;45342,76;203803;61370;1189;0;;
45;24;2011;0;89425,3;412589;367147;26190;0;;
99;24;2011;0;343026,3;1638540;740948;34617;0;113873
21;27;2011;0;76003,18;364263;105215;5276;0;
25;27;2011;0;60998,2;329604;143219;6630;0;
39;27;2011;0;33671,48;185232;62794;2132;0;
58;27;2011;0;30291,9;116512;67709;1161;0;
70;27;2011;0;24875,1;147986;57211;4501;0;
71;27;2011;0;82472,26;412089;97739;26343;0;
89;27;2011;0;53752,86;253067;64997;1274;0;
90;27;2011;0;14014,12;55930;17233;784;0;
99;27;2011;0;376079,1;1864683;616117;48101;0;119790
14;28;2011;0;94971,6;463640;178422;6067;0;
27;28;2011;0;71879,16;348321;77566;11224;0;
50;28;2011;0;61135,1;319080;125659;19875;0;
61;28;2011;0;30251,94;174932;83918;5167;0;
76;28;2011;0;143987,7;706431;187762;29357;0;
99;28;2011;0;402225,5;2012404;653327;71690;0;138929
2;32;2011;0;54984,22;314369;105203;13548;0;
59;32;2011;0;214030,2;997134;553671;94282;0;
60;32;2011;0;88572,08;418980;102547;15476;0;
62;32;2011;0;136107,5;900370;175230;25833;0;
80;32;2011;0;62224,38;348458;107389;38188;0;
99;32;2011;0;555918,3;2979311;1044040;187327;0;154600
8;44;2011;0;23792,48;125760;44335;2622;0;
10;44;2011;0;36486,44;205949;58468;152;0;
51;44;2011;0;64454,74;429948;185216;70836;0;
52;44;2011;0;26704,38;166039;44586;4923;0;
54;44;2011;0;65710,52;357934;483460;2433;0;
55;44;2011;0;17461,04;99060;41340;6661;0;
57;44;2011;0;98531,74;450589;182128;10572;0;
67;44;2011;0;143500,1;606440;237604;3921;0;
68;44;2011;0;95733,8;417577;135497;11724;0;
88;44;2011;0;44351,9;237080;61591;11460;0;
99;44;2011;0;616727,1;3096376;1474225;125304;0;150919
44;52;2011;0;168503,9;719444;463403;17897;0;
49;52;2011;0;83424,64;428112;77659;16330;0;
53;52;2011;0;30021,06;208004;53482;14678;0;
72;52;2011;0;74131,72;367116;66950;2947;0;
85;52;2011;0;97188,64;548512;174667;4082;0;
99;52;2011;0;453270;2271188;836161;55934;0;173872
22;53;2011;0;69508,94;361485;90888;11422;0;
29;53;2011;0;105601;482758;174774;10063;0;
35;53;2011;0;118576,1;628203;389939;12204;0;
56;53;2011;0;89612,52;435782;94697;13994;0;
99;53;2011;0;383298,5;1908228;750298;47683;0;174044
16;75;2011;0;51744,5;297867;68537;24120;0;
17;75;2011;0;91160,6;420162;92887;9778;0;
19;75;2011;0;33772,12;171512;51520;3250;0;
23;75;2011;0;13883,14;72688;40422;733;0;
24;75;2011;0;46209,3;220098;79569;322;0;
33;75;2011;0;194630,4;828896;164625;17737;0;
40;75;2011;0;53312,56;260041;67603;19133;0;
47;75;2011;0;39036,48;233266;457317;1046;0;
64;75;2011;0;70448;285601;66813;2012;0;
79;75;2011;0;44186,88;292718;98164;21857;0;
86;75;2011;0;53578,22;278786;108160;4266;0;
87;75;2011;0;48827,42;204260;64560;1341;0;
99;75;2011;0;740789,6;3565895;1360177;105595;0;310168
9;76;2011;0;16065,4;73358;13613;1926;0;
11;76;2011;0;45319,82;258647;43801;5685;0;
12;76;2011;0;27595,34;153535;59839;1980;0;
30;76;2011;0;90273,34;361811;80538;2169;0;
31;76;2011;0;150202,2;664186;83298;1774;0;
32;76;2011;0;19795;110379;45207;687;0;
34;76;2011;0;157099,8;668337;201412;4801;0;
46;76;2011;0;23999,68;107401;27187;7547;0;
48;76;2011;0;9780,58;53824;34328;2229;0;
65;76;2011;0;26986,32;118510;26892;631;0;
66;76;2011;0;55985,44;227193;66042;1539;0;
81;76;2011;0;40792,5;197607;53522;7617;0;
82;76;2011;0;25749,78;164467;35313;473;0;
99;76;2011;0;689645,2;3159255;770992;39058;0;209978
1;84;2011;0;77660,04;370424;101277;29219;0;
3;84;2011;0;45124,46;222259;79967;3601;0;
7;84;2011;0;35881,12;132814;31194;9328;0;
15;84;2011;0;15744,98;77551;39979;11227;0;
26;84;2011;0;78019,68;448159;108369;4430;0;
38;84;2011;0;147971,1;630058;127126;17055;0;
42;84;2011;0;81359,3;392492;368351;24503;0;
43;84;2011;0;23669,64;128860;60093;5933;0;
63;84;2011;0;84769,96;367276;119721;20578;0;
69;84;2011;0;196408,6;920946;519047;19223;0;;
73;84;2011;0;60950,1;325327;91280;30041;0;;
74;84;2011;0;103298,1;419580;119238;4028;0;;
99;84;2011;0;950857,1;4435746;1765642;179166;0;265719;
4;93;2011;0;24643,48;96575;30927;594;0;;
5;93;2011;0;20253,06;88859;38289;1659;0;;
6;93;2011;0;198166,1;436204;132782;2334;0;;
13;93;2011;0;261630,7;1054443;284376;251195;0;;
83;93;2011;0;182898,4;554863;101533;2564;0;;
84;93;2011;0;84690,78;376420;85501;7100;0;;
99;93;2011;0;772282,5;2607364;673408;265446;0;137567;
2A;94;2011;0;25253,98;62094;13097;0;0;;
2B;94;2011;0;34469,2;93815;50153;0;0;;
99;94;2011;0;59723,18;155909;63250;0;0;33519;
99;99;2011;;;;;;;12900;
FR;FR;2011;0;7515154;33224546;11481306;1216243;0;2083819;6431271,2
