iter	Logloss
0	0.634596877
1	0.5845116851
2	0.5443025785
3	0.5079618323
4	0.4780989307
5	0.4510035987
6	0.4278777348
7	0.4083333301
8	0.3896444579
9	0.3752355781
10	0.3630775927
11	0.3504788576
12	0.3399401706
13	0.3301602397
14	0.3213908881
15	0.3139021468
16	0.3079688013
17	0.3029962909
18	0.2976132576
19	0.2937480351
20	0.2904274648
21	0.2859999331
22	0.283131188
23	0.2801750468
24	0.2776294751
25	0.275415132
26	0.2732613101
27	0.2710579312
28	0.2696429693
29	0.2681611983
30	0.2667686923
31	0.2650275579
32	0.2636548113
33	0.2621530929
34	0.2610812294
35	0.2599267625
36	0.2589735789
37	0.257941666
38	0.2572605882
39	0.256459233
40	0.255890208
41	0.255194026
42	0.25437331
43	0.2536967137
44	0.253333544
45	0.252800818
46	0.2523425108
47	0.2517210524
48	0.2513168501
49	0.2509393401
50	0.25061294
51	0.2502242829
52	0.2499445477
53	0.2496938774
54	0.2493724
55	0.2491216969
56	0.2488358213
57	0.2486273416
58	0.2483587405
59	0.2480661574
60	0.2477466749
61	0.2474141946
62	0.2472003633
63	0.2469713859
64	0.2465960343
65	0.2464630979
66	0.2462762343
67	0.2461315225
68	0.2459255335
69	0.2457196924
70	0.2454686614
71	0.2452952197
72	0.2451727763
73	0.2449831109
74	0.2448224329
75	0.2446845714
76	0.2445237042
77	0.2443614648
78	0.244237199
79	0.2440650772
80	0.243955726
81	0.2437389684
82	0.2435768835
83	0.243442128
84	0.2432776106
85	0.2431216651
86	0.2429948033
87	0.2428633253
88	0.2427725776
89	0.2426303631
90	0.2425017343
91	0.2424352989
92	0.2422964403
93	0.2421921952
94	0.2420397978
95	0.2419572759
96	0.2418640187
97	0.2417163188
98	0.2416712591
99	0.2416110096
100	0.2415395897
101	0.2414006394
102	0.2413217089
103	0.241261298
104	0.2411880306
105	0.2411172183
106	0.2410652156
107	0.2409244601
108	0.2407567483
109	0.2407074269
110	0.2406489484
111	0.2405546068
112	0.2404382198
113	0.2403475479
114	0.2401758698
115	0.240079057
116	0.2399766663
117	0.2398824347
118	0.239848902
119	0.2397869257
120	0.2397042808
121	0.2396159477
122	0.2395573828
123	0.2395026105
124	0.2394495403
125	0.2393742646
126	0.239282473
127	0.2392425821
128	0.2391855552
129	0.2391141972
130	0.2390096848
131	0.2389120011
132	0.2388020419
133	0.2387344437
134	0.2386753666
135	0.2386230967
136	0.2385591058
137	0.2384654282
138	0.2383895852
139	0.2383500734
140	0.238311388
141	0.2382148095
142	0.2381256494
143	0.2380446961
144	0.237956581
145	0.2379086122
146	0.237866116
147	0.237820484
148	0.2377616924
149	0.2377040904
150	0.2376692086
151	0.2375961568
152	0.2375404923
153	0.237441673
154	0.2373372628
155	0.2373063313
156	0.2372592646
157	0.2371921708
158	0.237166679
159	0.2371494586
160	0.2370842277
161	0.2370477406
162	0.2369750641
163	0.2369233315
164	0.2368462965
165	0.2367833369
166	0.2367338812
167	0.236684057
168	0.2366062343
169	0.2365562309
170	0.2365259718
171	0.2364634697
172	0.2364040042
173	0.2363357856
174	0.2362994568
175	0.2362466191
176	0.2361534204
177	0.2361075807
178	0.2360540771
179	0.236031174
180	0.2359840418
181	0.2359503627
182	0.2358985217
183	0.2358244589
184	0.2357726362
185	0.2357193934
186	0.2356530163
187	0.2355902583
188	0.235549556
189	0.2355405249
190	0.2354907476
191	0.2354261629
192	0.2353881382
193	0.2353354889
194	0.2352992107
195	0.2351984916
196	0.2351291024
197	0.2350961434
198	0.235052581
199	0.2350022457
200	0.2349404912
201	0.2348837756
202	0.2348261293
203	0.2347863209
204	0.2347600644
205	0.2346939626
206	0.2346375633
207	0.2346031523
208	0.2345195433
209	0.2344112507
210	0.2343441418
211	0.2343186224
212	0.2342464583
213	0.2342275113
214	0.2341679129
215	0.234127202
216	0.2341068074
217	0.2340461384
218	0.2340101991
219	0.2339506322
220	0.2338875496
221	0.2338381337
222	0.2338041434
223	0.2337337315
224	0.2336864657
225	0.23362347
226	0.233569928
227	0.2335350262
228	0.2334649511
229	0.233377408
230	0.2333191987
231	0.2332810283
232	0.2332279041
233	0.2331674057
234	0.2331118721
235	0.2330329755
236	0.2329832208
237	0.2329309779
238	0.2328912277
239	0.2328419311
240	0.2328181953
241	0.2327628588
242	0.2327216278
243	0.2326564463
244	0.2326055416
245	0.2325808244
246	0.232532769
247	0.2324800195
248	0.2324256281
249	0.2323594597
250	0.2323163889
251	0.2322629343
252	0.2322126125
253	0.2321597159
254	0.232115671
255	0.2320697177
256	0.2320404712
257	0.2319856296
258	0.2319485427
259	0.2319023916
260	0.2318767562
261	0.2318339333
262	0.2317704193
263	0.2317388719
264	0.2317263574
265	0.2316834547
266	0.2316301774
267	0.2315650253
268	0.2315179406
269	0.2314831714
270	0.2314309153
271	0.2313795198
272	0.2313161808
273	0.2312801151
274	0.2312417224
275	0.2311948703
276	0.2311509451
277	0.2310944835
278	0.2310685092
279	0.2310292363
280	0.2310000085
281	0.2309819949
282	0.2309474359
283	0.2308963388
284	0.230845329
285	0.2307864249
286	0.230730865
287	0.2306773135
288	0.2306400808
289	0.2305610941
290	0.2305178696
291	0.2304620008
292	0.2304271073
293	0.2303624876
294	0.2303084586
295	0.2302548923
296	0.2302059104
297	0.2301612264
298	0.2301332933
299	0.2300774213
300	0.2300331707
301	0.2299937343
302	0.2299713384
303	0.2299035248
304	0.2298525444
305	0.2297917558
306	0.2297395227
307	0.2296972908
308	0.2296561632
309	0.2296035992
310	0.2295604435
311	0.2295029583
312	0.2294499479
313	0.229372016
314	0.2293291337
315	0.2293001352
316	0.2292553194
317	0.2292182362
318	0.2291698088
319	0.2291359274
320	0.2291037932
321	0.2290733097
322	0.2290445133
323	0.2289994135
324	0.228936134
325	0.228883562
326	0.2288267226
327	0.2287932516
328	0.2287548288
329	0.2287238497
330	0.2286840244
331	0.22864482
332	0.2285954671
333	0.228549687
334	0.2285270113
335	0.2284940004
336	0.228458787
337	0.2284155594
338	0.2283806562
339	0.2283333189
340	0.2283029743
341	0.2282769899
342	0.2282458747
343	0.228206301
344	0.2281692751
345	0.2281305111
346	0.2280899938
347	0.2280625864
348	0.228022859
349	0.2279779837
350	0.2279389871
351	0.2279006076
352	0.2278514191
353	0.2278195605
354	0.2277761807
355	0.2277309384
356	0.2277102706
357	0.2276778385
358	0.2276230966
359	0.2275768621
360	0.2275329677
361	0.2275101891
362	0.2274823992
363	0.2274431125
364	0.2273978504
365	0.2273502453
366	0.2273177354
367	0.2272709469
368	0.2272361313
369	0.2272161045
370	0.2271827102
371	0.2271462319
372	0.2271166067
373	0.2270928637
374	0.2270715392
375	0.2270396512
376	0.2270094422
377	0.2269834586
378	0.2269498971
379	0.2269112821
380	0.2268744188
381	0.2268533534
382	0.2267980111
383	0.2267663021
384	0.2267409772
385	0.2267071896
386	0.226658312
387	0.2266369279
388	0.2266054239
389	0.2265767182
390	0.2265534579
391	0.2265337407
392	0.2264866668
393	0.2264442193
394	0.2263991305
395	0.2263678244
396	0.2263162277
397	0.2262957756
398	0.2262494933
399	0.2262254901
400	0.2262057197
401	0.2261564047
402	0.2261185596
403	0.226090235
404	0.2260599703
405	0.2260340239
406	0.2259912303
407	0.225958046
408	0.2259267001
409	0.2258785833
410	0.2258415337
411	0.225792035
412	0.2257380622
413	0.2257192332
414	0.2256819786
415	0.2256582475
416	0.2256279693
417	0.2256002848
418	0.2255477497
419	0.2255109167
420	0.2254668813
421	0.2254212212
422	0.2253745281
423	0.2253364144
424	0.2253129021
425	0.22526721
426	0.2252288041
427	0.225203235
428	0.2251696082
429	0.2251484959
430	0.2251089104
431	0.2250691485
432	0.2250470331
433	0.2250279771
434	0.2249977323
