iter	Passed	Remaining
423	2108	2863
424	2112	2857
425	2115	2850
426	2119	2844
427	2123	2838
428	2127	2831
429	2130	2823
430	2133	2816
431	2139	2813
432	2144	2807
433	2147	2801
434	2155	2799
435	2159	2793
436	2176	2803
437	2181	2798
438	2193	2803
439	2208	2810
440	2211	2803
441	2228	2813
442	2237	2812
443	2241	2806
444	2259	2818
445	2267	2816
446	2273	2813
447	2301	2835
448	2320	2847
449	2325	2841
450	2336	2844
451	2346	2844
452	2350	2837
453	2353	2830
454	2357	2824
455	2361	2816
456	2364	2809
457	2369	2803
458	2372	2796
459	2376	2790
460	2380	2782
461	2383	2775
462	2388	2770
463	2392	2763
464	2395	2756
465	2399	2749
466	2405	2745
467	2411	2741
468	2415	2734
469	2419	2728
470	2424	2722
471	2427	2715
472	2431	2708
473	2434	2701
474	2438	2695
475	2442	2689
476	2445	2681
477	2449	2674
478	2452	2667
479	2456	2660
480	2460	2654
481	2463	2647
482	2466	2640
483	2470	2633
484	2473	2626
485	2478	2621
486	2481	2614
487	2484	2607
488	2488	2600
489	2498	2600
490	2503	2595
491	2509	2590
492	2513	2584
493	2517	2578
494	2521	2571
495	2527	2567
496	2532	2563
497	2536	2557
498	2541	2551
499	2547	2547
500	2555	2544
501	2558	2538
502	2562	2531
503	2565	2525
504	2569	2518
505	2573	2512
506	2576	2505
507	2580	2499
508	2584	2492
509	2587	2486
510	2591	2480
511	2595	2473
512	2598	2467
513	2607	2465
514	2654	2500
515	2659	2494
516	2673	2497
517	2688	2501
518	2693	2496
519	2712	2503
520	2717	2498
521	2726	2496
522	2748	2506
523	2783	2528
524	2881	2606
525	2962	2669
526	2983	2677
527	2997	2679
528	3035	2702
529	3043	2698
530	3142	2775
531	3161	2781
532	3259	2856
533	3292	2872
534	3349	2910
535	3402	2945
536	3407	2937
537	3471	2980
538	3501	2994
539	3511	2991
540	3522	2988
541	3541	2992
542	3598	3028
543	3630	3043
544	3645	3043
545	3661	3044
546	3668	3037
547	3685	3039
548	3702	3041
549	3708	3033
550	3729	3038
551	3752	3045
552	3759	3039
553	3775	3039
554	3788	3037
555	3852	3076
556	3858	3068
557	3868	3064
558	3874	3056
559	3880	3048
560	3889	3043
561	3896	3036
562	3902	3029
563	3917	3028
564	3931	3027
565	3941	3022
566	3948	3015
567	3955	3008
568	3966	3004
569	3978	3001
570	3982	2991
571	3988	2984
572	3992	2975
573	3995	2965
574	4000	2956
575	4005	2948
